city,state,pop,query
Azusa,CA,50000,Azusa CA
Newark,OH,49934,Newark OH
Lincoln,CA,49757,Lincoln CA
East Brunswick,NJ,49715,East Brunswick NJ
Euclid,OH,49692,Euclid OH
Rockwall,TX,49669,Rockwall TX
Wake Forest,NC,49657,Wake Forest NC
Cerritos,CA,49578,Cerritos CA
Biloxi,MS,49449,Biloxi MS
Jeffersonville,IN,49447,Jeffersonville IN
Lawrence,IN,49370,Lawrence IN
Dublin,OH,49328,Dublin OH
Ceres,CA,49302,Ceres CA
Sheboygan,WI,49288,Sheboygan WI
Coral Gables,FL,49248,Coral Gables FL
Winter Haven,FL,49219,Winter Haven FL
Bedford,TX,49187,Bedford TX
St Louis Park,MN,49158,St Louis Park MN
Everett,MA,49075,Everett MA
Barnstable,MA,48916,Barnstable MA
West Orange,NJ,48843,West Orange NJ
Poway,CA,48841,Poway CA
Titusville,FL,48789,Titusville FL
Hattiesburg,MS,48730,Hattiesburg MS
Glenview,IL,48705,Glenview IL
Washington Township,NJ,48677,Washington Township NJ
Niagara Falls,NY,48671,Niagara Falls NY
Monroe Township,NJ,48594,Monroe Township NJ
Cedar Hill,TX,48557,Cedar Hill TX
Roswell,NM,48422,Roswell NM
Stillwater ,OK,48394,Stillwater  OK
Bothell,WA,48161,Bothell WA
Charleston ,WV,48018,Charleston  WV
La Mirada,CA,48008,La Mirada CA
Binghamton,NY,47969,Binghamton NY
Rancho Santa Margarita,CA,47949,Rancho Santa Margarita CA
Egg Harbor Township,NJ,47842,Egg Harbor Township NJ
Minot,ND,47789,Minot ND
Wilson ,NC,47731,Wilson  NC
Middletown,CT,47717,Middletown CT
Monroe,LA,47702,Monroe LA
Mansfield,OH,47534,Mansfield OH
Newark,CA,47529,Newark CA
Chesterfield,MO,47484,Chesterfield MO
Mentor,OH,47450,Mentor OH
Cleveland,TN,47356,Cleveland TN
Brea,CA,47325,Brea CA
Fort Pierce,FL,47297,Fort Pierce FL
Ocoee,FL,47295,Ocoee FL
East Providence,RI,47139,East Providence RI
Oro Valley,AZ,47070,Oro Valley AZ
San Luis Obispo,CA,47063,San Luis Obispo CA
South Brunswick,NJ,47043,South Brunswick NJ
Winter Garden,FL,46964,Winter Garden FL
Salina ,KS,46889,Salina  KS
Evesham Township,NJ,46826,Evesham Township NJ
Prescott Valley,AZ,46785,Prescott Valley AZ
Farmington,NM,46624,Farmington NM
Beavercreek,OH,46549,Beavercreek OH
Strongsville,OH,46491,Strongsville OH
Attleboro,MA,46461,Attleboro MA
Westfield,IN,46410,Westfield IN
Wauwatosa,WI,46396,Wauwatosa WI
Arlington,MA,46308,Arlington MA
Huntsville,TX,46288,Huntsville TX
Altamonte Springs,FL,46231,Altamonte Springs FL
Alexandria,LA,46180,Alexandria LA
Hackensack,NJ,46030,Hackensack NJ
Huntington ,WV,46025,Huntington  WV
Bridgewater Township,NJ,45977,Bridgewater Township NJ
Goose Creek,SC,45946,Goose Creek SC
Prescott,AZ,45827,Prescott AZ
Elmhurst,IL,45786,Elmhurst IL
Bountiful,UT,45762,Bountiful UT
Haltom City,TX,45746,Haltom City TX
Littleton,CO,45652,Littleton CO
Urbandale,IA,45580,Urbandale IA
Los Banos,CA,45532,Los Banos CA
Morgan Hill,CA,45483,Morgan Hill CA
Cutler Bay,FL,45425,Cutler Bay FL
Keller,TX,45397,Keller TX
Brentwood,TN,45373,Brentwood TN
Charlottesville,VA,45373,Charlottesville VA
Sayreville,NJ,45345,Sayreville NJ
Cleveland Heights,OH,45312,Cleveland Heights OH
Sierra Vista,AZ,45308,Sierra Vista AZ
Riverton,UT,45285,Riverton UT
Manchester Township,NJ,45115,Manchester Township NJ
The Colony,TX,45000,The Colony TX
Fairfield,OH,44907,Fairfield OH
Sherman,TX,44873,Sherman TX
York,PA,44800,York PA
North Lauderdale,FL,44794,North Lauderdale FL
Plainfield,IL,44762,Plainfield IL
Mankato ,MN,44693,Mankato  MN
Moorhead ,MN,44668,Moorhead  MN
Mount Laurel,NJ,44633,Mount Laurel NJ
West Lafayette,IN,44595,West Lafayette IN
Palm Springs,CA,44575,Palm Springs CA
